Origin,Destination,Product,Month,Quantity
Australia,Japan,FreshStart Toothpaste,Mar2004,1527
Australia,Japan,FreshStart Toothpaste,Oct2004,1567
Australia,Japan,SmileShield Whitening Strips,Feb2004,702
Australia,Japan,SmileShield Whitening Strips,Dec2004,612
Australia,Japan,LuminousLip Care,May2004,1407
Australia,Japan,CleanSlate Mouthwash,Aug2004,491
Australia,Japan,CleanSlate Mouthwash,Sep2004,519
Australia,Japan,OralEase Gel,May2004,1601
Australia,Japan,FreshFusion Mouth Rinse,Feb2004,713
Australia,Japan,FreshFusion Mouth Rinse,Oct2004,799
Australia,Japan,DailyDazzle Toothpaste,Jun2004,1783
Australia,Japan,DailyDazzle Toothpaste,Oct2004,1763
Australia,Japan,OralEase Plus Toothbrush,Apr2004,596
Australia,Japan,BreatheEasy Inhalant,Apr2004,1134
Australia,Japan,SmilesSoPure Waterpik,Mar2004,653
Australia,Japan,SmilesSoPure Waterpik,Aug2004,673
Australia,Japan,CleanSmile Floss Picks,Jan2004,1142
Australia,Japan,CleanSmile Floss Picks,Aug2004,1114
Australia,Japan,FreshFix Mouthwash,Sep2004,1404
Australia,Japan,SparklingGlow Toothpaste,Nov2004,2029
Australia,Japan,SparklingGlow Toothpaste,Dec2004,1925
Australia,Japan,Purezza Body Wash,Oct2004,683
Australia,Japan,Purezza Body Wash,Nov2004,683
Australia,Japan,SkinSational Moisturizer,Feb2004,1055
Australia,Japan,SoftStep Shaving Cream,Jun2004,881
Australia,Japan,SoftStep Shaving Cream,Nov2004,812
Australia,Japan,GentleGlow Face Lotion,May2004,1461
Australia,Japan,GentleGlow Face Lotion,Oct2004,1349
Australia,Japan,SilkSmooth Exfoliating Scrub,Mar2004,1532
Australia,Japan,SilkSmooth Exfoliating Scrub,May2004,926
Australia,Japan,Refreshing Rose Body Oil,Jun2004,1167
Australia,Japan,Calming Creme Relaxant Bath,Jan2004,51
Australia,Japan,Calming Creme Relaxant Bath,Jun2004,826
Australia,Japan,Brightening Body Wash,Aug2004,1571
Australia,Japan,Brightening Body Wash,Nov2004,1536
Australia,Japan,SmoothOperator Shaving Gel,Apr2004,1106
Australia,Japan,RadiantRose Face Mask,Oct2004,625
Australia,Japan,RadiantRose Face Mask,Nov2004,657
Australia,Japan,GentleGlow Face Cleanser,Nov2004,1314
Australia,Japan,PurePore Toner,Apr2004,662
Australia,Japan,SilkySkin Moisturizing Cream,Apr2004,497
Australia,Japan,SilkySkin Moisturizing Cream,Sep2004,522
Australia,Japan,SilkySkin Moisturizing Cream,Dec2004,567
Australia,Japan,MorningMist Deodorant,Jan2004,1315
Australia,Japan,MorningMist Deodorant,Jun2004,1358
Australia,Japan,DelicateDew Sensitive Wash,Jan2004,1286
Australia,Japan,DelicateDew Sensitive Wash,May2004,1314
Australia,Japan,DelicateDew Sensitive Wash,Aug2004,1199
Australia,Japan,SmellSational Odor Eliminator,Sep2004,1402
Australia,Japan,SoothingSerenity Baby Oil,Sep2004,1125
Australia,Japan,SoothingSerenity Baby Oil,Nov2004,1149
Australia,Japan,CalmingClean Bath Time Wash,Jun2004,668
Australia,Japan,BrightBreeze Insect Repellent,May2004,588
Australia,Japan,BrightBreeze Insect Repellent,Nov2004,626
Australia,Japan,BrightBreeze Insect Repellent,Dec2004,589
Australia,Japan,RadiantRose Baby Massage Oil,Jul2004,983
Australia,Japan,RadiantRose Baby Massage Oil,Sep2004,1122
Australia,Japan,RadiantRose Baby Massage Oil,Nov2004,982
Australia,Japan,EasyWash Laundry Detergent for Babies,Nov2004,782
Australia,Japan,LittleLullaby Diaper Liners,Apr2004,299
Australia,Japan,LittleLullaby Diaper Liners,Oct2004,509
Australia,Japan,SoothingSerenity Baby Rub,Jun2004,877
Australia,Japan,CalmingClean Diaper Rash Cream,Aug2004,1794
Australia,Japan,FreshFusion Baby Wipes,Jul2004,673
Australia,Japan,BrightBreeze Baby Sunscreen Stick,Apr2004,1174
Australia,Japan,LuminousLocks Shampoo,Mar2004,1435
Australia,Japan,LuminousLocks Shampoo,Jul2004,1365
