Origin,Destination,Product,Month,Quantity
Australia,Brazil,PurePore Toner,Jan2004,797
Australia,Brazil,PurePore Toner,Feb2004,778
Australia,Brazil,PurePore Toner,Mar2004,682
Australia,Brazil,PurePore Toner,Apr2004,816
Australia,Brazil,PurePore Toner,Jun2004,768
Australia,Brazil,PurePore Toner,Jul2004,880
Australia,Brazil,PurePore Toner,Aug2004,801
Australia,Brazil,PurePore Toner,Sep2004,533
Australia,Brazil,PurePore Toner,Oct2004,826
Australia,Brazil,PurePore Toner,Nov2004,844
Australia,Brazil,PurePore Toner,Dec2004,819
Australia,Italy,SoothingSerenity Hand Sanitizer,Jan2004,1720
Australia,Italy,SoothingSerenity Hand Sanitizer,Feb2004,1701
Australia,Italy,SoothingSerenity Hand Sanitizer,Mar2004,1948
Australia,Italy,SoothingSerenity Hand Sanitizer,Apr2004,1694
Australia,Italy,SoothingSerenity Hand Sanitizer,May2004,1828
Australia,Italy,SoothingSerenity Hand Sanitizer,Jun2004,1654
Australia,Italy,SoothingSerenity Hand Sanitizer,Jul2004,1831
Australia,Italy,SoothingSerenity Hand Sanitizer,Aug2004,1808
Australia,Italy,SoothingSerenity Hand Sanitizer,Sep2004,1819
Australia,Italy,SoothingSerenity Hand Sanitizer,Oct2004,1722
Australia,Italy,SoothingSerenity Hand Sanitizer,Nov2004,1855
Australia,Italy,SoothingSerenity Hand Sanitizer,Dec2004,1932
Australia,Italy,Hydrating Honey Body Lotion,Jan2004,1470
Australia,Italy,Hydrating Honey Body Lotion,Feb2004,1661
Australia,Italy,Hydrating Honey Body Lotion,Mar2004,1589
Australia,Italy,Hydrating Honey Body Lotion,Apr2004,1396
Australia,Italy,Hydrating Honey Body Lotion,May2004,1553
Australia,Italy,Hydrating Honey Body Lotion,Jun2004,1467
Australia,Italy,Hydrating Honey Body Lotion,Jul2004,1485
Australia,Italy,Hydrating Honey Body Lotion,Aug2004,1517
Australia,Italy,Hydrating Honey Body Lotion,Sep2004,1616
Australia,Italy,Hydrating Honey Body Lotion,Oct2004,1539
Australia,Italy,Hydrating Honey Body Lotion,Nov2004,1511
Australia,Italy,Hydrating Honey Body Lotion,Dec2004,1450
Australia,Italy,SparklingClean All-Purpose Cleaner,Feb2004,641
Australia,Italy,SparklingClean All-Purpose Cleaner,May2004,1041
Australia,Italy,SparklingClean All-Purpose Cleaner,Jun2004,123
Australia,Italy,SparklingClean All-Purpose Cleaner,Jul2004,1368
Australia,Italy,SparklingClean All-Purpose Cleaner,Dec2004,620
