Country,Product,Month,Quantity
Australia,MorningMint,Jan2004,772
Australia,MorningMint,Feb2004,822
Australia,MorningMint,Mar2004,1043
Australia,MorningMint,Apr2004,882
Australia,MorningMint,May2004,807
Australia,MorningMint,Jun2004,835
Australia,MorningMint,Jul2004,792
Australia,MorningMint,Aug2004,796
Australia,MorningMint,Sep2004,959
Australia,MorningMint,Oct2004,825
Australia,MorningMint,Nov2004,838
Australia,MorningMint,Dec2004,762
Australia,OralEase Gel,Jan2004,1399
Australia,OralEase Gel,Feb2004,1701
Australia,OralEase Gel,Mar2004,1657
Australia,OralEase Gel,Apr2004,1697
Australia,OralEase Gel,May2004,1601
Australia,OralEase Gel,Jun2004,1573
Australia,OralEase Gel,Jul2004,1585
Australia,OralEase Gel,Aug2004,1660
Australia,OralEase Gel,Sep2004,1676
Australia,OralEase Gel,Oct2004,1568
Australia,OralEase Gel,Nov2004,1476
Australia,OralEase Gel,Dec2004,1656
Australia,BreatheEasy Inhalant,Jan2004,3027
Australia,BreatheEasy Inhalant,Feb2004,2862
Australia,BreatheEasy Inhalant,Mar2004,2777
Australia,BreatheEasy Inhalant,Apr2004,3091
Australia,BreatheEasy Inhalant,May2004,3038
Australia,BreatheEasy Inhalant,Jun2004,3094
Australia,BreatheEasy Inhalant,Jul2004,2914
Australia,BreatheEasy Inhalant,Aug2004,3095
Australia,BreatheEasy Inhalant,Sep2004,3180
Australia,BreatheEasy Inhalant,Oct2004,2667
Australia,BreatheEasy Inhalant,Nov2004,3211
Australia,BreatheEasy Inhalant,Dec2004,2888
Australia,SmilesSoPure Waterpik,Jan2004,2315
Australia,SmilesSoPure Waterpik,Feb2004,2270
Australia,SmilesSoPure Waterpik,Mar2004,2235
Australia,SmilesSoPure Waterpik,Apr2004,2280
Australia,SmilesSoPure Waterpik,May2004,2301
Australia,SmilesSoPure Waterpik,Jun2004,2186
Australia,SmilesSoPure Waterpik,Jul2004,2320
Australia,SmilesSoPure Waterpik,Aug2004,2277
Australia,SmilesSoPure Waterpik,Sep2004,2315
Australia,SmilesSoPure Waterpik,Oct2004,2304
Australia,SmilesSoPure Waterpik,Nov2004,2280
Australia,SmilesSoPure Waterpik,Dec2004,2262
Australia,FreshFix Mouthwash,Jan2004,621
Australia,FreshFix Mouthwash,Feb2004,675
Australia,FreshFix Mouthwash,Mar2004,625
Australia,FreshFix Mouthwash,Apr2004,561
Australia,FreshFix Mouthwash,May2004,651
Australia,FreshFix Mouthwash,Jun2004,621
Australia,FreshFix Mouthwash,Jul2004,621
Australia,FreshFix Mouthwash,Aug2004,639
Australia,FreshFix Mouthwash,Sep2004,582
Australia,FreshFix Mouthwash,Oct2004,618
Australia,FreshFix Mouthwash,Nov2004,619
Australia,FreshFix Mouthwash,Dec2004,667
Australia,SparklingGlow Toothpaste,Jan2004,6810
Australia,SparklingGlow Toothpaste,Feb2004,6644
Australia,SparklingGlow Toothpaste,Mar2004,6490
Australia,SparklingGlow Toothpaste,Apr2004,6606
Australia,SparklingGlow Toothpaste,May2004,6551
Australia,SparklingGlow Toothpaste,Jun2004,6726
Australia,SparklingGlow Toothpaste,Jul2004,6741
Australia,SparklingGlow Toothpaste,Aug2004,6518
Australia,SparklingGlow Toothpaste,Sep2004,6881
Australia,SparklingGlow Toothpaste,Oct2004,6583
Australia,SparklingGlow Toothpaste,Nov2004,6743
Australia,SparklingGlow Toothpaste,Dec2004,6443
Australia,SkinSational Moisturizer,Jan2004,1141
Australia,SkinSational Moisturizer,Feb2004,1055
Australia,SkinSational Moisturizer,Mar2004,1130
Australia,SkinSational Moisturizer,Apr2004,1180
Australia,SkinSational Moisturizer,May2004,1081
Australia,SkinSational Moisturizer,Jun2004,1129
Australia,SkinSational Moisturizer,Jul2004,1088
Australia,SkinSational Moisturizer,Aug2004,1053
Australia,SkinSational Moisturizer,Sep2004,1079
Australia,SkinSational Moisturizer,Oct2004,1074
Australia,SkinSational Moisturizer,Nov2004,1052
Australia,SkinSational Moisturizer,Dec2004,1124
Australia,SoftStep Shaving Cream,Jan2004,920
Australia,SoftStep Shaving Cream,Feb2004,942
Australia,SoftStep Shaving Cream,Mar2004,865
Australia,SoftStep Shaving Cream,Apr2004,972
Australia,SoftStep Shaving Cream,May2004,956
Australia,SoftStep Shaving Cream,Jun2004,881
Australia,SoftStep Shaving Cream,Jul2004,806
Australia,SoftStep Shaving Cream,Aug2004,879
Australia,SoftStep Shaving Cream,Sep2004,1035
Australia,SoftStep Shaving Cream,Oct2004,822
Australia,SoftStep Shaving Cream,Nov2004,812
Australia,SoftStep Shaving Cream,Dec2004,935
Australia,GentleGlow Face Lotion,Jan2004,3125
